cluster_id,relationship_type,reason,role,proposed_action,provider_id,provider_name,address,phone,google_place_id,review_count,verified,slug
12,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,fb658c08-8784-4d3f-b5a7-269aadf3350d,Kegler's Pub at Havasu Lanes,"2128 McCulloch Blvd N, Lake Havasu City, AZ 86403",(928) 855-2695,,0,False,kegler-s-pub-at-havasu-lanes
13,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,e5ec2eab-422b-4e01-95df-ecfbaefaec43,Reflections Steakhouse at Iron Wolf Golf and Country Club,"3275 N LaTrobe Dr, Lake Havasu City, AZ 86404",(928) 764-1404,,0,False,reflections-steakhouse-at-iron-wolf-golf-and-country-club
13,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),cc5e58a1-f9ba-443b-a01c-e4ad710e4a46,Iron Wolf Golf & Country Club,"3275 N Latrobe Dr, Lake Havasu City, AZ 86404, USA",(928) 764-1404,ChIJnch4UOLv0YARz8qHK2VfGuk,185,False,iron-wolf-golf-country-club
14,parent_child,a member name extends the parent with a person/department,primary,keep (parent),6c7a1fc9-835d-4197-bc1e-501b71cf9267,JCPenney,"5651 AZ-95, Lake Havasu City, AZ 86404, USA",(928) 764-1800,ChIJMcIFIZbv0YAR-3A7xy8Re6I,764,False,jcpenney
14,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,db79bd0f-8149-42e9-ae36-03aa9328f158,JCPenney Salon,"5651 AZ-95, Lake Havasu City, AZ 86404, USA",(928) 764-1800,ChIJBUvnR5bv0YARfFUPX7SqhlQ,17,False,jcpenney-salon
15,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),6edb08a8-a57a-4128-98bb-e20b0172ee59,"Kelsey M. Little, DMD","371 Lake Havasu Ave, Lake Havasu City, AZ 86403, USA",(928) 855-8333,ChIJ4bEvvLHt0YAR58ok8MvmMww,1,False,kelsey-m-little-dmd
15,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),9678e7b9-f5f6-4adb-8761-eeb9496ba6d8,Kelsey Little,"371 Lake Havasu Ave # B, Lake Havasu City, AZ 86403, USA",(928) 855-8333,ChIJ7_Qibn7t0YAR6sWOZ5mDAnE,0,False,kelsey-little
16,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,5a225ab3-0bb6-4b1c-99b5-337cbc116f9d,The Eye Spa at Lake Havasu Family Eyecare,"2277 Swanson Ave #100, Lake Havasu City, AZ 86403, USA",(928) 855-5026,ChIJTbr4bAzz0YAR2iHdgaRDNCI,0,False,the-eye-spa-at-lake-havasu-family-eyecare
16,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),ceff879f-cfd7-4e19-b670-b7d8da4bea67,Lake Havasu Family Eyecare,"2277 Swanson Ave #100, Lake Havasu City, AZ 86403, USA",(928) 855-5026,ChIJJUy7snjy0YAR9mlvky8EGng,1787,False,lake-havasu-family-eyecare-2
17,multi_location,same name at multiple distinct addresses,primary,keep (primary) + share location_group_id,17966ba4-b772-43b6-a780-beaf94967fa3,Lakeside Appliances,"1740 McCulloch Blvd S, Lake Havasu City, AZ 86406, USA",(928) 855-8344,ChIJdfxYjOnz0YARzE_osa-LJlA,10,False,lakeside-appliances
17,multi_location,same name at multiple distinct addresses,sibling,keep (sibling) + share location_group_id,a1da7512-7111-47f2-91eb-aef3fce63886,Lakeside Appliances,"621 N Lake Havasu Ave #102, Lake Havasu City, AZ 86403, USA",(928) 855-8344,ChIJc1SYCTfz0YAR7btiOiuA8Vs,4,False,lakeside-appliances-2
18,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,1379e7e4-f588-4af2-bea8-afce19f4221f,London Bridge Resort Queen's Tea,"1477 Queens Bay, Lake Havasu City, AZ 86403",(928) 855-0888,,0,False,london-bridge-resort-queen-s-tea
18,parent_child,a member name extends the parent with a person/department,primary,keep (parent),56f01cd3-9608-42e8-8b9c-24e157b42130,London Bridge Resort,"1477 Queens Bay, Lake Havasu City, AZ 86403, USA",(928) 855-0888,ChIJPenv14Lt0YARwsySb3yr-fA,1935,False,london-bridge-resort
19,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),65e328bd-dbf7-4678-865d-e47603c8c5dd,Love's,"14875 AZ-95, Lake Havasu City, AZ 86404, USA",(928) 764-1505,ChIJN_OxW9_80YAR2V5DntMab3Y,73,False,love-s
19,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),9d969381-db96-4308-a655-3f950134fade,Love's Travel Stop,"14875 AZ-95, Lake Havasu City, AZ 86404, USA",(928) 764-1505,ChIJsTavGSH90YARgkrCoPeIREE,1018,False,love-s-travel-stop
20,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),70136352-2403-4bd4-bf42-497886c00460,Megan & Erik's Water and Ice,"2231 McCulloch Blvd N #103, Lake Havasu City, AZ 86403",(928) 854-1400,,0,False,megan-erik-s-water-and-ice
20,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),5a5363bd-06f4-428c-970c-b497787d117e,Megan and Erik's Water and Ice and Ice Cream Smith's,"2231 McCulloch Blvd N # 103, Lake Havasu City, AZ 86403, USA",(928) 854-1400,ChIJyVYvO2Py0YARsWyK2yYjWUo,59,False,megan-and-erik-s-water-and-ice-and-ice-cream-smith-s
21,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),98f6f203-4397-491e-b368-2c9a2d940f52,Mr. Lucky's Billiards & Pub,"3313 Maricopa Ave, Lake Havasu City, AZ 86406",(928) 855-4000,,0,False,mr-lucky-s-billiards-pub
21,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),a15f92cc-ec08-469b-a2be-d6a2ff3a691a,Mr Lucky's Billiards,"3313 Maricopa Ave #101-2, Lake Havasu City, AZ 86406, USA",(928) 855-4000,ChIJbfHwDSPz0YARklpPKOQrTnA,173,False,mr-lucky-s-billiards
22,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),a913cd43-7c99-4646-b379-ee4986ad8c27,Rosati's Pizza,"91 London Bridge Rd, Lake Havasu City, AZ 86403, USA",(928) 855-8665,ChIJoyxOcpvt0YARNY-NPqVN_x4,1867,False,rosati-s-pizza
22,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),ea81db2b-654e-42fa-8f01-fc9a3ced9d82,Rosati's Pizza & Pasta,"91 London Bridge Rd #108, Lake Havasu City, AZ 86403",(928) 855-8665,,0,False,rosati-s-pizza-pasta
23,parent_child,a member name extends the parent with a person/department,child,keep (child) + set parent_provider_id,4127d604-4745-4dc7-8a87-d7423456e051,Safeway Bakery,"1650 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 855-7760,ChIJ__8_iYPt0YAREnzx3dIGS0Y,3,False,safeway-bakery
23,parent_child,a member name extends the parent with a person/department,primary,keep (parent),239282b9-180f-4b72-9b4a-eb72ece0214e,Safeway,"1650 McCulloch Blvd N, Lake Havasu City, AZ 86403, USA",(928) 855-7760,ChIJp9aAZITt0YARbXlESiNTjmA,1779,False,safeway
24,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),6e11f1ca-1dca-4baf-90a4-795dd7160579,Sam's Beachcomber Resort,"555 Beachcomber Blvd, Lake Havasu City, AZ 86403",(928) 453-1550,,0,False,sam-s-beachcomber-resort
24,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),ca6030e0-ea1c-4fbd-83c5-0352b05cf709,Sam's Beachcomber RV Resort,"555 Beachcomber Blvd, Lake Havasu City, AZ 86403, USA",(928) 453-1550,ChIJ__yYDhDt0YARUnDqj9Tc7w4,309,False,sam-s-beachcomber-rv-resort
25,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),f562e01a-2f2b-4ca1-8f0e-f5dd58050a34,Serrano's Nursery & Landscaping,"1831 Industrial Blvd, Lake Havasu City, AZ 86403",(928) 453-8219,,0,False,serrano-s-nursery-landscaping
25,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),1d22f692-d585-403e-b9db-409686050784,Serrano's Nursery,"1831 Industrial Blvd, Lake Havasu City, AZ 86403, USA",(928) 453-8219,ChIJcdyCBvrt0YARSdoLz4aRLLE,45,False,serrano-s-nursery
26,duplicate,same business (name/address/phone/slug-family match),clone,retire -> merged_into primary (is_active=False),30edc6a5-63b6-41d5-8bac-c9748dfa4239,Star Nursery,"1141 N Lake Havasu Ave, Lake Havasu City, AZ 86403",(928) 505-7625,,0,False,star-nursery
26,duplicate,same business (name/address/phone/slug-family match),primary,keep (primary),1c81d1a7-965e-4697-a63a-befa185efbf2,Star Nursery Garden Center,"1141 N Lake Havasu Ave, Lake Havasu City, AZ 86403, USA",(928) 505-7625,ChIJf6jz4uLt0YAR4wjI-l4ut8A,58,False,star-nursery-garden-center
27,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,e2e3cc9f-3cb9-444a-8d98-9fe2728fce7a,Subway at Southside Basha's Plaza,"3269 Maricopa Ave #112, Lake Havasu City, AZ 86406",(928) 453-9101,,0,False,subway-at-southside-basha-s-plaza
27,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),c4fc12f7-54f8-4bb4-b85c-71acbf96fc31,Subway,"3269 Maricopa Ave Suite 112, Lake Havasu City, AZ 86406, USA",(928) 453-9101,ChIJvUvoxiPz0YARb6kM82PHYTY,104,False,subway-3
28,parent_child,a member is an amenity located 'at' the parent venue,child,keep (child) + set parent_provider_id,3cd34b99-3308-4157-be15-11aeb4a5fe15,Garden Center at The Home Depot,"100 Retail Centre Blvd, Lake Havasu City, AZ 86404, USA",(928) 764-5111,ChIJl46Xebnv0YARSZCdZkBOSPw,13,False,garden-center-at-the-home-depot
28,parent_child,a member is an amenity located 'at' the parent venue,primary,keep (parent),aae93377-9073-4895-99d8-d3a7ca920a73,The Home Depot,"100 Retail Centre Blvd, Lake Havasu City, AZ 86404, USA",(928) 764-5111,ChIJuyD1AHDy0YARfMj6U5APPLk,1107,False,the-home-depot
