current_leaf,provider_id,provider_name,matched_pattern,suggested_target,phone,website
banks-and-credit-unions,9da0d453-292f-4f8a-9f01-391d86d71ea3,Guild Mortgage Company,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 505-8400,https://branches.guildmortgage.com/az/lakehavasucity/lake-havasu-982.html
banks-and-credit-unions,5677201a-002a-412e-8522-f69be7955c27,Guild Mortgage - Dan Snyder,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 208-2081,https://branches.guildmortgage.com/az/lakehavasucity/dan-snyder-982-hpdsn.html
banks-and-credit-unions,3baa527e-7315-4f7d-9edf-d65650c738eb,"Hi-Tech Mortgage, Inc.",mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 854-1881,https://www.hi-techmortgage.com/
banks-and-credit-unions,6702dd82-97e5-45b7-b6a3-595808b00fb2,Jason Jackson - PNC Mortgage Loan Officer (NMLS #239510),mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(800) 822-5626,https://www.pnc.com/en/personal-banking/borrowing/home-lending/contact-us/MLO.html?EmployeeId=8442&lnksrc=mlo-listing-google
banks-and-credit-unions,a9a73f03-fd6e-4fff-82ff-7730f0121738,loanDepot,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 302-2060,https://www.loandepot.com/branches/lake-havasu-city-az
banks-and-credit-unions,5e38cb55-69f8-46f8-9859-45f43cc80845,ML Mortgage Lake Havasu Branch,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 264-4966,https://www.mlmortgage.net/
banks-and-credit-unions,02cf3f7f-aaa7-4501-90f1-142761663ad6,Mohave Mortgage - Lake Havasu City,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 288-2691,https://www.mohavemortgages.com/
banks-and-credit-unions,261c57e9-cead-4e26-aba9-87b1a912b2fb,Mortgage West Financial,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,,http://www.lakehavasu.mwfinc.com/
banks-and-credit-unions,266c0cff-cfb9-4906-9b39-a0dde5decb8b,Mutual Of Omaha Reverse Mortgage,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(949) 280-0858,https://mutualreverse.com/lo/shana-roach/
banks-and-credit-unions,5d5b5162-d8c0-4184-9360-90bf6aec958d,PNC Mortgage,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 855-2151,https://www.pnc.com/en/personal-banking/borrowing/home-lending.html?lnksrc=mortgage-listing-google
banks-and-credit-unions,fe32cd54-1822-4717-a1d3-9edce436c662,Theresa Crowell - US Mortgage,mortgage|\bloan\b|\bnmls\b|lending|loandepot,NEEDS_DECISION,(928) 846-6302,https://usmortgage.com/theresa-crowell/
primary-care,f1eb8a18-9dbb-4c4c-b1d3-c718cd61d382,Hypnotherapist On Line,therapist|counsel|psycholog|behavioral,NEEDS_DECISION,(928) 263-0071,https://hypnotherapistonline.com/
pharmacies,87e081b3-dd4d-42f3-bc4e-6f2601603051,"Rodney Koenig, PAC",\bpa-?c\b|physician assistant,NEEDS_DECISION,(928) 453-0150,
dentists-and-orthodontists,cd5ba93b-4162-458f-abdc-bb1c0de717d1,Foster's Dental Lab Inc,dental lab|\blab\b|laboratory,NEEDS_DECISION,(928) 453-6648,
dentists-and-orthodontists,e8eaa179-b13d-4000-b617-7ad7f8e01445,New West Dental Lab,dental lab|\blab\b|laboratory,NEEDS_DECISION,(800) 321-1614,https://newwestlab.com/
auto-repair,408024f8-4d63-416a-a49c-23131a3eea19,REDHAWK POOL SERVICE & REPAIR,\bpool\b|self.?storage|\bstorage\b|mini.?storage,NEEDS_DECISION,(928) 733-7996,https://redhawkpoolsaz.com/
auto-repair,f8d4ba73-6ac8-4159-a4f9-496efdfa2557,Winners Circle Storage,\bpool\b|self.?storage|\bstorage\b|mini.?storage,NEEDS_DECISION,(928) 855-8392,
