name,type,website,facebook_url,address,schedule_found,schedule_url,notes
Family Office Society Gym,gym,https://www.fosgym.com/,https://www.facebook.com/fos.gym/,1580 Dover Ave,website-partial,https://fosgym.gymmasteronline.com/portal/signup,"24/7 private gym; template site, class claims are placeholder copy — no real schedule; GymMaster pricing live: day $35 / 3-day $75 / 7-day $130; Founders $120/mo or $1440/yr"
Lake Havasu Bike & Fitness,bike shop/fitness,https://www.lakehavasubike.com/,https://www.facebook.com/p/Lake-Havasu-Bike-Fitness-61561560909272/,151 Swanson Ave,none-website,,"site renders now (NOT js-only); no scheduled rides/tours/events; rentals $25-$90; hours M-Sa, Sun closed; group rides if any are on FB"
Havasu Martial Arts Academy,martial arts,https://lhckungfu.com/,https://www.facebook.com/people/Havasu-Martial-Arts-Academy/100064976709992/,1420 Glengarry Ct,none-appointment,,"UPDATE 6/3/26: current site (lhckungfu.com) says APPOINTMENT-ONLY private/semi-private lessons + DVD sales, 9a-5p; legacy dojos.info group grid (LittleDragons 4:15p, Juniors 5:15p, Adults 6:30p M-Th) likely DEFUNCT — do not ingest; verify 928-855-5005; keep in FB sweep"
The Tap Room Jiu Jitsu,martial arts,https://thetaproomjiujitsu.com/,https://www.facebook.com/p/The-TAP-ROOM-Jiu-Jitsu-61574029964504/,2175 Kiowa Blvd N #104,website,https://thetaproomjiujitsu.com/schedule,"grid re-verified 6/3/26 w/ CORRECTIONS: Sun OpenMat 9-10:30a; Mon WomensOnly NoGi 9-10a (NEW) + Littles Gi 4:30-5:15p + Youth Gi 5:15-6:15p + Adult Gi 6:15-7:45p; Tue NoGi same slots; Wed Gi slots + MMA 7:30-8:30p; Thu NoGi slots; Fri NoGi LegLocks 5:15-6:15p + MMA 6:15-7:15p; Sat Youth Wrestling 9-10a + Adult 10-11a; no Peewee class; $109/mo + $39.99 signup; 3-day free trial"
Bridge City Combat,martial arts/MMA,,https://www.facebook.com/bridgecitycombat/,2143 McCulloch Blvd N Unit B,no-website,,"FOUND via spot check 6/3/26 — REAL gym but only exists in DB as 2 tier2-test fixtures (hash-suffixed) so it was excluded from pass 1; youth+adult MMA, fitness, youth wrestling, BJJ (Barry Sullins affiliation); training hours (Mohave Local): M/W/F 5-9p, Tu/Th 4-9p, Sa 8-10a, Su closed; class-level times only on FB; phone 928-444-5778; owners' site aaeamerica.com is their gun shop, not the gym; NOTE shares 2143 McCulloch Ste B address with Fiore's Endorphin Factory — reconcile; DB needs real entity added + test rows cleaned"
Beyond Dance,dance studio,https://beyonddance.us/,https://www.facebook.com/593124483880176,2735 Maricopa Ave,website,https://beyonddance.us/classes,"PDFs extracted 6/3/26: kids/teens 2025-26 season M-Th in 3:30-4:30/4:40-5:40/5:50-6:50/7-8p blocks (Rhythm&Groove, Acro, Tap, Jazz, HipHop, KPOP, Contemporary, teams); $45 enroll + $35-$60/mo per class; ballroom PDF (March, may be stale): Foxtrot 12p + SingleTimeSwing 4p Mon&Fri $15/class or $80/8; exact class-to-day mapping needs visual PDF render; first recital held 5/31/26 per RiverScene — active"
The Dance Center,dance facility,https://thedancecenterlhc.com/,https://www.facebook.com/p/The-Dance-Center-61569199334143/,2735 Maricopa Ave,no-website,,"own site is a GoDaddy 'Launching Soon' placeholder; venue ACTIVE via tenant orgs: Ballet Havasu (own row) + Beyond Dance (own row); FB sweep queued"
Swivel & Sway Ballroom Dance,dance studio,https://swivelandswayballroomdance.com/,https://www.facebook.com/SwivelandSwayBallroomDance/,62 Lake Havasu Ave ste 108,directory-partial,,"directory pass 6/3/26: Intro to Salsa Tue 5:30p (Yelp Feb-26); group classes $10/class (FB); RSVP 909-243-3339; own site is near-empty landing page; full weekly grid on FB — sweep queued; IGNORE 2022 RiverScene Mon-night listing (old venue)"
Altitude Trampoline Park,trampoline park,https://www.altitudetrampolinepark.com/locations/arizona/lake-havasu-city/5601-highway-95-n/,https://www.facebook.com/altitudelakehavasu/,5601 AZ-95,directory,https://www.golakehavasu.com/directory/altitude-trampoline-park/,"golakehavasu.com directory pass 6/3/26: hours Sun/Mon/Wed 11a-7p, Tue/Thu 10a-7p, Fri 11a-8p, Sat 10a-9p; Junior Jumper (6u) $9/60min $15/90min, 7+ $15/$19/$24, socks $3.50, memberships $15-$25/mo; 'parents jump free 9a-12p M-F' needs confirm; no named toddler-time/classes — FB sweep for events"
Lake Havasu City Aquatic Center,public pool/rec,https://www.lhcaz.gov/parks-recreation/aquatic-center,,100 Park Ave,website,https://www.lhcaz.gov/parks-recreation/aquatic-center,"June 2026 PDF grids extracted 6/3/26: exercise classes M/W Motion&Mobility + TaiChi 8-9a, Arthritis 9:15-10:15a, AquaAerobics 9:30-10:30a, DeepWaterFit 10:45-11:45a; T/Th Fit&Flex 9-10a, AquaChallenge 9:30-10:30a, WarmWaterYoga 10:15-11:15a, WaterWellness 10:45-11:45a; Fri same as M/W minus TaiChi; $5/class or punch pass $80/20 visits (PDF rev 5/29/26 supersedes web's $78); lap swim M-F 5-7a + T/Th 12-1:45p $5; open swim 12-4p exc T/Th $6 adult/$3 senior+child; Swim League M/W or T/Th 5-7p; Jr Lifeguard M/W (12-15yr) T/Th (9-11yr) 4-6p thru 7/10; lessons $42/8 (no open sessions); Free Family Swim 6/28 12-4p"
Lake Havasu Tennis Association,tennis,http://www.lakehavasutennis.com/,https://www.facebook.com/lakehavasutennis/,2675 Palo Verde Blvd S,website-partial,http://www.lakehavasutennis.com/activities/,"confirmed NO clock times exist on site or directories (6/3/26): Mon Night Doubles (beg-int), T/Th Night Doubles (int-adv) 'under the lights', join via email roberteastman4@hotmail.com; membership $55 single/$70 family/$15 junior per yr; calendar is JS (TEC plugin) — try browser; lessons via Parks&Rec"
Havasu Stingrays Swim Team,swim team,https://www.gomotionapp.com/team/azhsaz/page/home,https://www.facebook.com/HavasuStingrays/,100 Park Ave,website,https://www.gomotionapp.com/team/azhsaz/page/practice/practice-schedule1,"gomotion practice page IS fetchable (6/3/26): school-yr grid (Nov10'25-Jun2'26, JUST ENDED): Elite/Platinum/Gold M-F dryland 3:30-4:30p + swim 4:30-6p; Silver M-Th 5-6p/6-7p; Bronze M/T/Th 5-6p/6-7p; PreStingrays M/W + T/F 5-5:45p/5:45-6:30p; Fitness M/W/Th 6-7p; SUMMER (current): practice 7-9a at Aquatic Ctr per city news; Masters M/W 6-7a; dues $60-$120/mo + reg $125 + USA Swimming $82; contribution 567 posted 6/4/26 at 0.30 (school-yr grid ENDED 6/2/26 — flagged); supersede 567 when summer grid posts (reportedly 7-9a Aquatic Ctr)"
Cycle Therapy,bike shop,http://www.cycletherapylhc.com,https://www.facebook.com/CycleTherapyBikes/,40 Scott Dr,none,,"confirmed across site+Yelp+directories 6/3/26: NO group rides exist on any source; hours Tu-F 10a-5p Sat 10a-3p closed Su-Mo (Yelp May'26; mohavelocal hours stale); sales/repair/rentals only; low priority for sweep"
Scuba Training & Technology,scuba school,http://www.scubatrainingandtechnology.com,https://www.facebook.com/ScubaTrainingTechnology/,2150 Kiowa Blvd N A-106,website-partial,https://www.scubatrainingandtechnology.com/training,"on-demand cert courses (OW, Nitrox 4-5hr, Advanced, Rescue, Master, CPR 2hr); no fixed dates or prices; shop hrs M-F 11-6 Sa 11-4"
the studio 2959,fitness/wellness studio,http://thestudio2959.com/,,2959 N Kiowa Blvd #102,website-stale,https://www.thestudio2959.com/,"2026 bootcamp status UNVERIFIED — site still advertises Oct-Dec 2024 series (Tu/W/Th 4:15a/5:10a/6:05a/11a; $20/session $55/wk $450/30) as of 6/3/26; business alive per Yelp Feb'26; WellnessLiving stub unclaimed; 1-on-1 'limited, waitlist'; text 928-733-8110 to confirm"
Grand Piano Studio,music lessons,http://grandpianohavasu.weebly.com/,,3163 Maricopa Ave,website-partial,https://grandpianohavasu.weebly.com/piano-lessons.html,"confirmed: private 40-min lessons follow LHUSD school-year calendar (2nd wk fall thru May); summer optional; no times/prices"
RockerBens Music Lessons,music lessons,,,2790 Arcadia Dr,no-website,,no website on file — research; needs research
Hava Math Tutor,tutoring,http://havamathtutor.com/,,3106 El Dorado Ave N,none-appointment,,"confirmed: by phone only 928-706-3208; pre-algebra thru calculus 1; no schedule/prices; NOTE: no Kumon/Sylvan/Mathnasium exists in LHC (discovery 6/3/26)"
Kids Activities Studio,kids classes,,,,no-website,,no website/address on file — research; may be test row; possible test row — verify exists
Lake Havasu City Library (Mohave County Library),library programs,https://www.mohavecountylibrary.us/lake-havasu-city/,,1770 McCulloch Blvd N,website,https://www.mohavecountylibrary.us/lake-havasu-city-branch/,"Trumba calendar rendered 6/3/26 (needs JS): Preschool Playtime Storytime Wed+Thu 9:30-11:30a (ages 2-5, Storytime Rm); SR Preschool Storytime Wed 10:30-11:30a (ages 3-5); teen Summer Reading events (Book Bingo, Dinosaur Sanctuary Thu 3:30-5p ages 12-18); support group Thu 12:30-2p; Summer Reading 2026 thru 7/11; all programs free; branch M-Th 9-6 F/Sa 9-5"
Mohave Community College Lake Havasu Campus,community education,http://mohave.edu/,,1977 W Acoma Blvd,website-partial,https://www.mohave.edu/academics/areas-of-interest/cce/community-education/,"current listings in Ellucian Journey JS portal only; latest static catalog = Spring/Summer 2025 (STALE) w/ full LHC list (Ceramics Tu+Th 10a-1p $121, Metalsmithing Wed 12:30-4:30p, Watercolor, Knit Tribe Tue 5:30-7:30p, kids art, tech classes Wed/Thu 5:45-6:45p $25, Adult Ballet Mon 11:30a, Kundalini Yoga Mon 8:30-10a, etc.); register 866-664-2832"
Lake Havasu Senior Center,senior programs,http://www.lakehavasuseniorcenter.com/,,450 Acoma Blvd S,website,https://lakehavasuseniorcenter.com/current-events,"TaiChi Qigong Fri 12p $1; Arts&Crafts Thu 8:30-11a; billiards M-F 8:30a-3:30p; lunch daily $5 (60+)/$7; Stronger Together seminar Tue 6/9/26 12-2p free; Bunco/LaughingYoga/LineDancing/fitness/Thu-AM music jams have NO published times — call 928-453-0715; center M-F 8a-4p"
Lake Havasu City Sportsman's Club,shooting sports,http://www.havasusportsman.com/,,7260 Sara Pkwy,website,https://www.havasusportsman.com/pistol_range.html,"match calendar IS published (missed in 1st pass): pistol — SASS 2nd+4th Sat 7a-2p, Steel Challenge 2nd Sun 7a-2p, USPSA 3rd Sat (+Fri before) + following Sun 5a-4p; rifle — smallbore benchrest 1st+3rd Sat 9-11a, high-power 1st/2nd/4th Sun 9-11a, 5th Sun choice; public shooting Wed/Sat/Sun summer 7-11a winter 8a-12p $10 day fee; trap/skeet/5-stand $6 mem/$9 non per round; club mtg 1st Tue; membership $75/yr"
SARA Park Disc Golf,disc golf,,https://www.facebook.com/groups/1689127224672907,McCulloch Blvd S,no-website,,"FB GROUP not page — league nights; FB GROUP only — needs login, defer per architecture"
Lake Havasu Yacht Club,boating club,https://www.lakehavasuyachtclub.net/,,631 London Bridge Rd,website-partial,https://www.lakehavasuyachtclub.net,"members Fri night (bar 5p dinner 6p); NEW: line dance lessons Mon 12p (Burgee Girls); monthly Boat Day; annual regatta/poker runs/themed nights without dates; full calendar member/FB-only"
River Rat Yacht Club,boating club,,,2035 Swanson Ave,no-website,,no website on file — research; needs research
MJ's Dog Training,dog training,https://www.mjsdogtraining.com/,,960 Pueblo Dr,website,https://mjsdogtraining.com/services%2Fpricing,"group classes STILL suspended (puppy/intermediate/pack walk listed inactive); private only: assessment $175 (1.5-2hr), $100/hr, 4-pack $380, 8-pack $700; by appointment 541-790-9602"
For Dog's Sake! Training,dog training,,https://www.facebook.com/DogTrainingHavasu/,2289 Chaparral Dr,directory-partial,,"directory pass 6/3/26: open Tu-Th + Sat 9:30a-6p (closed M/F/Su); trainers Valarie + Michelle, CGC certification, obedience-to-behavioral; NO class times published anywhere — FB sweep queued; 928-230-8239"
PetSmart Dog Training,dog training,https://stores.petsmart.com/az/lake-havasu-city/lake-havasu/dog-training,,5601 US-95 N,js-only,https://services.petsmart.com/training/1902,"store hrs M-Sa 9a-9p Su 10a-7p; group/private/virtual classes exist; class calendar behind JS booking portal — browser sweep; ~$119/6-wk group (national pricing)"
WACKO Canoe & Kayak Outfitters,kayak tours/classes,http://www.azwacko.com,,422 English Village,website-partial,https://www.azwacko.com/tours,"NOT DEAD — homepage is a Wix JS shell but inner pages render fine: Topock Gorge $70pp (book 5-11am, 5-7hr); Castle Rock $50; Bill Williams $60 (winter); Full Moon trips $50pp min 4 (route via FB); rentals kayak $45/day, crystal kayak or SUP $100, GoBoats $75/2hr $150/4hr; phone-only booking 928-715-6414"
Bridgewater Links Golf Course,golf,https://lakehavasugolf.com/,,1477 Queens Bay,none-website,,"confirmed: no leagues/clinics/events on site; open daily 7:30a-4:15p; Nine and Dine 'coming soon'; site 'Academy' page is lorem-ipsum filler"
Lake Havasu Golf Club,golf,https://lakehavasugolfclub.com/,,2400 Clubhouse Dr,website-partial,https://lakehavasugolfclub.com/pdp-faq-clinics/,"lessons $75 (Roman Garcia 928-208-2654, 30-45min by appt); club fitting $30; Practice Tee membership $99/mo; events calendar empty since Nov 2022"
Iron Wolf Golf and Country Club,golf,https://ironwolfgcc.com/,,3275 N LaTrobe Dr,website,https://ironwolfgcc.com/events-calendar/,"verified current thru June 2026: Line Dancing Wed 5-8p; Interactive Pasta Wed 5-9p; Build-Your-Own Surf&Turf Thu 5-9p; concert: Headgames & Illusion Sat 6/6/26 6-11p (Pavilion); golf academy still 'coming soon'; Toptracer range open 6 days/wk; see also Kaizen Golf & Fitness (Michael Washington, asst pro here)"
Havasu CrossFit,crossfit gym,https://havasucrossfit.com/,https://www.facebook.com/havasucrossfit,2876 Sweetwater Ave,website,https://havasucrossfit.com/,"DISCOVERY 6/3/26: live RxGym schedule — WODs M-F 5:00a/6:10a/7:20a/8:30a/3:20p/4:30p/5:40p (+Open Gym), Sat 7:30a + 8:30a; 1-hr classes; 4.9 stars/43 reviews; 928-680-9348; NOTE golakehavasu directory shows old address 1050 N Lake Havasu Ave"
Fit Lab 928,fitness studio,https://fitlab928.com/,,537 N Lake Havasu Ave #101,website,https://fitlab928.com/,"DISCOVERY 6/3/26: M-F Function 5:00a, Sweat 5:30a, Function 6:15a, Sweat 8:30a, Function 3:05p, Teens (M/W) + Kids (T/Th) 4:15p, Mixed Modality 4:15p, Sweat 5:15p, Function 5:30p; Sat Function 8a; $20/class; 928-900-7989"
Feelin Good Fitness,HIIT/group training gym,https://feelingoodfitness.com/,https://www.facebook.com/FeelinGoodFitnessTrainingCenter,1850 McCulloch Blvd N,website,https://feelingoodfitness.com/,"DISCOVERY 6/3/26: classes M-F 5:00a/6:15a/8:00a/9:45a/11a/4:00p/5:15p/6:30p (Mon HIIT/Strength, Tue 10-Zone, Wed/Thu Iron Paradise Strength, Fri HIIT); Sat 7:00a/8:15a/9:45a; Sun closed; cap 30, Zen Planner booking"
Titan Gym & Fitness Center,gym w/ classes,https://mytitanfitness.com/,,3325 Maricopa Ave,website-partial,https://mytitanfitness.com/,"DISCOVERY 6/3/26: classes incl SilverSneakers, Circuit&Yoga, Zumba, Spin, Kickboxing, Stretch&Tone, Strong&PowerSculpt; schedule is an IMAGE (Schedule 02.19.25.png — Feb 2025, may be stale) — OCR or call 928-680-6767; hrs M-Th 5a-7p F 5a-5p Sa 7a-1p"
Snap Fitness Lake Havasu City,24/7 gym,https://www.snapfitness.com/us/gyms/lake-havasucity-az,https://www.facebook.com/snapfitnesslakehavasucity,91 London Bridge Rd Units 101-102,none-website,,"DISCOVERY 6/3/26: opened Oct 2024; group fitness + cycling classes incl w/ membership, Coached Classes/Small Team Training tiers — but no public schedule (app-based); 928-889-1879; FB sweep queued"
Fiore's Endorphin Factory,kickboxing/boxing studio,https://fiores-endorphin-factory.gymdesk.com/,https://www.facebook.com/FioresEF,2143 McCulloch Blvd Ste B,website-partial,https://fiores-endorphin-factory.gymdesk.com/,"DISCOVERY 6/3/26: kickboxing/boxing/krav maga/Zumba/bootcamp + tai chi/qigong; Gymdesk live: 8-class pack $100/2mo, day $15, week $40, 60-min classes max 10 — BUT week of 6/1-6/7/26 shows all days CLOSED (summer pause? winding down?) — verify via FB; (949) 306-3273; shares 2143 McCulloch Ste B w/ Bridge City Combat — reconcile; owner Fiore also listed as new trainer at Soul Lifting"
Lake Havasu Black Belt Academy,taekwondo (ATA),https://www.lakehavasublackbeltacademy.com/,https://www.facebook.com/Lake-Havasu-Black-Belt-Academy-252983888055634,349 S Lake Havasu Ave #106,website-partial,https://www.lakehavasublackbeltacademy.com/schedule/,"DISCOVERY 6/3/26: Self Defense Tue+Thu evenings (1hr); Tai Chi 1.5hr once/wk at 7; Tue+Thu 11a-12p class; Krav Maga 'on a break'; hrs M-F 4-8p Sat 9a-12p; addresses conflict (349 S Lake Havasu vs old 597 N) — verify; 928-453-0515"
Arevalo Academy,MMA/BJJ,https://arevaloacademy.com/,https://www.facebook.com/p/arevalo-academy-100054110934689,3611 Jamaica Blvd S,website-stale,https://arevaloacademy.com/schedule/,"DISCOVERY 6/3/26: full grid but page last modified 2018 — VERIFY: Mon Adult Hardcore 5:15-6a/6-7a/8:10-9a + Adult MMA 7-9p; Tue/Fri Little Ninjas 3:30-4p, Beg PeeWee 4:10-5p, Juniors 5:10-6p, Intermediate 6-7p, Adult Hardcore 7-8p; Sat Forms/Grappling/Sparring 8:10-11a; (928) 855-0505"
Elite Martial Arts Inc,kenpo karate/kali/kickboxing,https://elitemartialartslakehavasucity.com/,https://www.facebook.com/Elite-Martial-Arts-Inc-274974995917576,2078 McCulloch Blvd N Ste 101,website,https://elitemartialartslakehavasucity.com/class-schedule.html,"DISCOVERY 6/3/26: KALI Tue 6:30-7:30p; Kickboxing Mon+Wed 6-7p; Elite Tigers (kids) Tue+Thu 5:30-6:10p; Traditional Japanese Karate Thu 4:30p; Kenpo Karate Mon+Wed 7-8p; privates by appt; Yelp updated Apr 2026; (928) 846-4456"
Trinity Mixed Martial Arts,MMA/Muay Thai/Hapkido/BJJ,https://www.trinitymixedmartialartshavasu.com/,,address unknown — research,dead-site,,"UPDATE 6/4/26: site fully DOWN (error pages in a real browser, not a JS shell) — flag entity for liveness; FB page exists (URL unconfirmed) — find + queue for FB sweep. Was: kids + adult Muay Thai/Hapkido/BJJ + Kickin' Kids after-school program"
Havasu Shaolin Kempo (American School of Shao-Lin Kempo),kempo/kung fu/tai chi,http://shao-linkempo.com/havasu.php,https://www.facebook.com/ASSKHavasu,2127 McCulloch Blvd N,fb-only,,"UPDATE 6/4/26: confirmed FB-only (havasu.php empty) — queued for OpenClaw FB sweep; classes ages 4+, Shao-Lin, Women's Self Defense, Tai Chi, Chi Kung; Yelp updated Feb 2026; 928-680-4121"
Next Generation Mixed Martial Arts,BJJ/Muay Thai/kickboxing,,https://www.facebook.com/people/Next-Generation-Mixed-Martial-Arts/100069035588311,1697 Mesquite Ave,fb-only,,"UPDATE 6/4/26: confirmed FB-only — queued for OpenClaw FB sweep (verify active before ingesting); LOW-MED confidence: only dated directories (findmmagym/dojos.info) + FB profile; head instructor Tim Carey; Women's Kickboxing/Muay Thai/Advanced Grappling claimed; lakehavasumartialarts.com is a blank JS shell possibly theirs"
Arizona Krav Maga,krav maga (traveling),https://arizonakravmaga.com/,https://www.facebook.com/arizonakravmaga,Sedona-based; teaches in LHC,website-partial,https://arizonakravmaga.com/,"DISCOVERY 6/3/26: weekly Thursday Firearms Self Defense class in LHC (5 students max) + privates/bootcamps; traveling/seminar model, no fixed LHC studio; (928) 263-0071"
Universal Sonics Gymnastics & All Star Cheer,gymnastics/cheer,http://www.universalgymnasticslakehavasu.com/,https://www.facebook.com/universalsonics,2245 Kiowa Blvd N #102,website,http://www.universalgymnasticslakehavasu.com/index.php?componentName=ClassScheduleDeluxe&scid=73927&action=view&classid=5878&offset_Class=0,"FULL GRID fetched 6/4/26 (ClassScheduleDeluxe, machine-readable; no validity dates — 'off season' note + site calendar empty, verify before ingest): public classes Mon Rec Gym 4-5p (5-9yr) + 5-6p; Tue Boys Athletics 3:30-4:30 (5-10yr) + 6:30-7:30 (11+), TinyTumblers 4:30-5:15 + 5:30-6:15 (3-4yr), Rec Gym 4:30-5:30, Rec Tumbling L1-3 5:30-6:30 (8+); Wed Rec Gym 4-5p + 4:45-5:45 (9+), Lil Firecrackers 5-6p, TinyTumblers 5:30-6:15; Thu Rec Cheer 3:30-4:30 (5+), Rec Gym 4:30-5:30, GymTots 5:30-6p (6mo-3yr parent), TinyTumblers 6-6:45; Fri team-only; plus invitational(*)/cheer(**)/competitive(***) team blocks M-F; NOT posted 6/4 (no entity id in map + season unverified) — call 928-453-1313"
Flips For Fun Gymnastics,gymnastics,https://www.fffhavasu.com/,https://www.facebook.com/p/Flips-For-Fun-Gymnastics-100063725552710,955 Kiowa Blvd Units 2-3,dead-site,,"UPDATE 6/4/26: site fully DOWN (error pages in a real browser) — flag entity for liveness; FB sweep queued; 6mo-adult, rec + competitive + special needs + summer camps; nonprofit, active teams; (928) 566-8862"
Aqua Beginnings,swim school,https://aquabeginnings.com/,,private heated pool (residential),none-appointment,https://aquabeginnings.com/,"UPDATE 6/4/26: skipped per appointment-only precedent — only fixed window is free assessments Tue/Wed/Fri 8a-2p (flag if Casey wants that listed); private/small-group lessons max 3 swimmers; office M-F 12-2p; Coach Rick 928-706-1246; site (c)2026"
Steelhead Aquatics (Candis' Swim Lessons),swim lessons,,https://www.facebook.com/SteelheadAquatics,mobile/in-home,no-website,,"DISCOVERY 6/3/26: private in-home lessons all ages, 20+ yrs experience, owner Candis Martin; active FB mid-season 2026; partnering on free CPR class series May-Jul; steelheadaquatics@gmail.com; FB sweep queued"
Kaizen Golf & Fitness,golf instruction,https://kaizengolffitness.com/,https://www.facebook.com/kaizengolffitness,3275 N Latrobe Dr,fb-only,,"UPDATE 6/4/26: confirmed FB-only (site JS-blank) — queued for OpenClaw FB sweep; TPI-certified pro Michael Washington (formerly Havasu Golf Academy; also asst pro at Iron Wolf); lessons, swing analysis, junior programs; 928-486-3901"
Lake Havasu City Pickleball Association,pickleball club,https://lakehavasupickleball.com/,,Dick Samp Park (16 courts) + Aquatic Ctr indoor,blank-embed,https://lakehavasupickleball.com/,"UPDATE 6/4/26 (browser): calendar embed loads BLANK even in Chrome; beginner lessons + novice clinics + round robins PAUSED until December 2026 (ARK Center gym, 2700 Jamaica Blvd S; first lesson free then $5/session) — revisit Dec 2026"
The Study Yoga Studio & Creative Center,yoga,https://thestudylhcaz.com/,https://www.facebook.com/thestudylhcaz,2550 Kiowa Blvd N,website,https://thestudylhcaz.com/class-schedule,"DISCOVERY 6/3/26 FULL grid: Mon Morning Flow 9-10a (Karen); Tue Root&Rise 8-9a (Karey); Wed Hatha Slow Flow 8-9a + Zen Yin 9:30-10:30a; Thu Kundalini 9:30-10:30a; Fri Stretch&Flow 9-10a + Restorative Yin 10:30-11:30a; Sat Hatha Warrior Flow 9-10a; Vagaro booking; (928) 706-2083"
Ben Hicks Yoga Studio,yoga,https://benhicksyoga.com/,,2000 McCulloch Blvd N #A,website-partial,https://benhicksyoga.com/,"DISCOVERY 6/3/26: daily hour-long classes all levels + monthly workshops since 2010; studio hrs M/W/F 6:00a-6:45p, Tu/Th 7a-6:45p, Sat 8-12, Sun 8-1:15; exact class grid needs deeper crawl; 928-680-6392"
